Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL583,AL583-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO254-18,MG586443,,,,Oceania,Australia,Tasmania,Sandy Bay,-42.9010,147.3270,Felis catus,owned cat,19-August-2014,Moira van Dorsselaer,
AL584,AL584-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h47,included,Clade 1,Temperate,CTENO255-18,MG586444,,,,Oceania,Australia,Tasmania,South Hobart,-42.8925,147.3161,Felis catus,owned cat,21-August-2014,Moira van Dorsselaer,
AL588,AL588-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO256-18,MG586445,,,,Oceania,Australia,Northern Territory,Galiwinku,-12.0247,135.5685,Canis lupus familiaris,free-roaming dog,21-October-2014,Courtenay Bombara & Michael Ward,
AL589,AL589-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO257-18,MG586446,,,,Oceania,Australia,Northern Territory,Galiwinku,-12.0247,135.5685,Canis lupus familiaris,free-roaming dog,21-October-2014,Courtenay Bombara & Michael Ward,
AL590,AL590-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO258-18,MG586447,,,,Oceania,Australia,Northern Territory,Galiwinku,-12.0247,135.5685,Canis lupus familiaris,free-roaming dog,21-October-2014,Courtenay Bombara & Michael Ward,
AL591,AL591-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO259-18,MG586448,,,,Oceania,Australia,Northern Territory,Galiwinku,-12.0247,135.5685,Canis lupus familiaris,free-roaming dog,21-October-2014,Courtenay Bombara & Michael Ward,
AL592,AL592-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO260-18,MG586449,,,,Oceania,Australia,Northern Territory,Galiwinku,-12.0247,135.5685,Canis lupus familiaris,free-roaming dog,21-October-2014,Courtenay Bombara & Michael Ward,
AL593,AL593-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO261-18,MG586450,,,,Oceania,Australia,Northern Territory,Galiwinku,-12.0247,135.5685,Canis lupus familiaris,free-roaming dog,21-October-2014,Courtenay Bombara & Michael Ward,
AL594,AL594-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO262-18,MG586451,,,,Oceania,Australia,Northern Territory,Galiwinku,-12.0247,135.5685,Canis lupus familiaris,free-roaming dog,21-October-2014,Courtenay Bombara & Michael Ward,
AL596,AL596-1,Ctenocephalides canis,,1,1,0,1,1,0,1,0,N/A,too short cox1,,,CTENO263-18,KP229383.1,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL597,AL597-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h29,included,Clade 1,Temperate,CTENO264-18,KP229384.1,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL598,AL598-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h29,included,Clade 1,Temperate,CTENO265-18,KP229385.1,,,,Asia,India,Sikkim,Sikkim,27.5330,88.5122,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL599,AL599-1,Ctenocephalides orientis,,1,0,1,1,1,0,1,1,h48,included,,,CTENO266-18,KP229381.1,,,,Asia,India,Maharashtra,Mumbai,19.0760,72.8777,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL600,AL600-1,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h48,included,,,CTENO267-18,KP229382.1,,,,Asia,India,Maharashtra,Mumbai,19.0760,72.8777,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL601,AL601-1,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h49,included,,,CTENO268-18,KP229378.1,,,,Asia,India,Delhi,New Delhi,28.6139,77.2090,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL601,AL601-2,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h49,included,,,CTENO269-18,KP229380.1,,,,Asia,India,Delhi,New Delhi,28.6139,77.2090,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL602,AL602-1,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h49,included,,,CTENO270-18,KP229379.1,,,,Asia,India,Delhi,New Delhi,28.6139,77.2090,Canis lupus familiaris,dog,01-July-2008,Rebecca Traub,"Hii, S.-F., Lawrence, A.L., Cuttell, L., Tynas, R., Abd Rani, P., Slapeta, J., Traub, R., 2015. Evidence for a specific host-endosymbiont relationship between 'Rickettsia sp. genotype RF2125' and Ctenocephalides felis orientis infesting dogs in India. Parasit. Vectors 8, 169."
AL604,AL604-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO271-18,MG586452,,,,Europe,Switzerland,Canton of Bern,Bern City,46.9480,7.4474,Felis catus,cat,01-November-2014,Caroline Frey,
AL604,AL604-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO272-18,MG586453,,,,Europe,Switzerland,Canton of Bern,Bern City,46.9480,7.4474,Felis catus,cat,01-November-2014,Caroline Frey,
AL604,AL604-3,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO273-18,MG586454,,,,Europe,Switzerland,Canton of Bern,Bern City,46.9480,7.4474,Felis catus,cat,01-November-2014,Caroline Frey,
AL604,AL604-4,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO274-18,MG586455,,,,Europe,Switzerland,Canton of Bern,Bern City,46.9480,7.4474,Felis catus,cat,01-November-2014,Caroline Frey,
AL604,AL604-6,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO275-18,MG586456,,,,Europe,Switzerland,Canton of Bern,Bern City,46.9480,7.4474,Felis catus,cat,01-November-2014,Caroline Frey,
AL635,AL635-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO276-18,MG586457,,,,Oceania,Australia,Queensland,Mareeba,-17.0019,145.4389,Canis lupus familiaris,dog,17-January-2015,Graeme Brown,
AL636,AL636-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO277-18,MG586458,MG586721,,,Oceania,Australia,Queensland,Mareeba,-17.0019,145.4389,Canis lupus familiaris,dog,17-January-2015,Graeme Brown,
AL637,AL637-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO278-18,MG586459,,,,Oceania,Australia,Queensland,Mareeba,-17.0019,145.4389,Canis lupus familiaris,dog,17-January-2015,Graeme Brown,
AL638,AL638-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h50,included,Clade 6,Tropical II,CTENO279-18,MG586460,MG586722,,,Oceania,Australia,Queensland,Mareeba,-17.0019,145.4389,Canis lupus familiaris,dog,17-January-2015,Graeme Brown,
AL639,AL639-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO280-18,MG586461,,,,Oceania,Australia,Queensland,Mareeba,-17.0019,145.4389,Canis lupus familiaris,dog,17-January-2015,Graeme Brown,
AL640,AL640-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO281-18,MG586462,,,,Oceania,Australia,Queensland,Mareeba,-17.0019,145.4389,Canis lupus familiaris,dog,17-January-2015,Graeme Brown,
AL641,AL641-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO282-18,MG586463,,,,Oceania,Australia,Queensland,Mareeba,-17.0019,145.4389,Canis lupus familiaris,dog,17-January-2015,Graeme Brown,
AL642,AL642-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO283-18,MG586464,,,,Europe,Switzerland,Canton of Bern,Bern City,46.9480,7.4474,Canis lupus familiaris,dog,21-January-2015,Caroline Frey,
AL644,AL644-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO284-18,MG586465,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Canis lupus familiaris,dog,25-October-2014,Tammy Majeski & Shannon Donahoe,
AL655,AL655-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO285-18,MG586466,,,,North America,USA,Washington State,Seattle,47.7149,-122.3555,Felis catus,cat,10-October-2014,Tammy Majeski & Shannon Donahoe,
AL656,AL656-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO286-18,MG586467,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Felis catus,cat,26-November-2014,Shannon Donahoe,
AL660,AL660-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO287-18,MG586468,,,,North America,USA,Washington State,Pasco,46.2396,-119.1006,Felis catus,cat,15-October-2014,Jennifer Corwin,
AL664,AL664-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO288-18,MG586469,,,,North America,USA,Washington State,Seattle,47.3055,-122.3744,Canis lupus familiaris,dog,01-November-2014,Shannon Donahoe,
AL668,AL668-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO289-18,MG586470,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL670,AL670-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO290-18,MG586471,,,,Europe,United Kingdom,England,Raynes Park,51.4067,-0.2322,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL686,AL686-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h51,included,Clade 1,Temperate,CTENO291-18,MG586472,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Canis lupus familiaris,owned dog,09-August-2014,Aarti Amin,
AL688,AL688-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO292-18,MG586473,,,,Europe,United Kingdom,England,Sutton,51.3614,-0.1940,Felis catus ,owned cat,01-August-2014,Aarti Amin,
AL695,AL695-2,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,Clade 1,Temperate,CTENO293-18,MG586475,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,31-July-2014,Aarti Amin,
AL695,AL695-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,,,CTENO294-18,MG586474,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,31-July-2014,Aarti Amin,
AL695,AL695-3,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO295-18,MG586476,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,31-July-2014,Aarti Amin,
AL695,AL695-4,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO296-18,MG586477,,,,Europe,United Kingdom,England,Surrey,51.3148,-0.5600,Felis catus ,owned cat,31-July-2014,Aarti Amin,
AL698,AL698-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h10,included,,,CTENO297-18,MG586478,,,,Europe,Slovakia,Bratislava,Bratislava,48.1486,17.1077,Canis lupus familiaris,owned dog,01-September-2014,Barbora Mitkova,
AL699,AL699-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO298-18,MG586479,,,,Europe,Slovakia,Bratislava,Dunajska Streda,47.9916,17.6206,Canis lupus familiaris,owned dog,01-September-2014,Barbora Mitkova,
AL701,AL701-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO299-18,MG586480,,,,Europe,Slovakia,Bratislava,Bratislava,48.1486,17.1077,Canis lupus familiaris,owned dog,01-September-2014,Barbora Mitkova,
AL702,AL702-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO300-18,MG586481,,,,Europe,Slovakia,Bratislava,Bratislava,48.1486,17.1077,Felis catus ,owned cat,01-September-2014,Barbora Mitkova,
AL707,AL707-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO301-18,MG586482,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,23-August-2014,Bettina Graefenstedt,
AL711,AL711-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h52,included,Clade 1,Temperate,CTENO302-18,MG586483,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Canis lupus familiaris,owned dog,26-November-2014,Bettina Graefenstedt,
AL712,AL712-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO303-18,MG586484,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Canis lupus familiaris,owned dog,26-November-2014,Bettina Graefenstedt,
AL713,AL713-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h12,included,Clade 1,Temperate,CTENO304-18,MG586485,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Canis lupus familiaris,owned dog,18-November-2014,Bettina Graefenstedt,
AL714,AL714-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO305-18,MG586486,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,12-November-2014,Bettina Graefenstedt,
AL717,AL717-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO306-18,MG586487,,,,Europe,Germany,North Rhine-Westphalia,Wevelinghoven,51.1061,6.6210,Felis catus ,owned cat,20-November-2014,Bettina Graefenstedt,
AL722,AL722-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO307-18,MG586488,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL723,AL723-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO308-18,MG586489,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL724,AL724-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO309-18,MG586490,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL725,AL725-1,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO310-18,MG586491,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL726,AL726-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h53,included,Clade 4,Tropical I,CTENO311-18,MG586492,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL727,AL727-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO312-18,MG586493,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL728,AL728-1,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO313-18,MG586494,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL729,AL729-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO314-18,MG586495,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL730,AL730-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO315-18,MG586496,MG586723,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL731,AL731-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h6,included,Clade 4,Tropical I,CTENO316-18,MG586497,,,,Africa,Central African Republic,Sangha-Mba�r� prefecture,Bayanga,2.9017,16.2699,Canis lupus familiaris,dog,01-December-2014,David Modry & Andrei Mihalca,
AL739,AL739-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO317-18,MG586498,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-March-2015,Sze Fui Hii,
AL739,AL739-2,Ctenocephalides canis,,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO318-18,MG586499,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-March-2015,Sze Fui Hii,
AL739,AL739-3,Ctenocephalides canis,,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO319-18,MG586500,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-March-2015,Sze Fui Hii,
AL739,AL739-4,Ctenocephalides canis,,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO320-18,MG586501,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,12-March-2015,Sze Fui Hii,
AL740,AL740-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h54,included,Clade 6,Tropical II,CTENO321-18,MG586502,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL740,AL740-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO322-18,MG586503,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL740,AL740-3,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h55,included,Clade 6,Tropical II,CTENO323-18,MG586504,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL740,AL740-4,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h56,included,,,CTENO324-18,MG586505,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL740,AL740-5,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h4,included,,,CTENO325-18,MG586506,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL740,AL740-6,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h57,included,,,CTENO326-18,MG586507,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL740,AL740-7,Ctenocephalides orientis,,1,0,1,1,1,0,1,1,h4,included,,,CTENO327-18,MG586508,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL740,AL740-8,Ctenocephalides orientis,,1,1,0,1,1,0,1,1,h4,included,,,CTENO328-18,MG586509,,,,Asia,Indonesia,Bali,Kuta,-8.7238,115.1752,Felis catus & Canis Lupus familiaris,cats and dogs,05-April-2015,Andrea Lawrence,
AL741,AL741-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO329-18,MG586510,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Felis catus ,owned cat,18-April-2015,Sze Fui Hii,
AL741,AL741-2,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO330-18,MG586511,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Felis catus ,owned cat,18-April-2015,Sze Fui Hii,
AL742,AL742-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO331-18,MG586512,,,,Oceania,Australia,Victoria,Lara,-38.0167,144.4167,Canis lupus familiaris,owned farm dog,18-April-2015,Sze Fui Hii,
AL753,AL753-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h10,included,,,CTENO332-18,MG586513,,,,Oceania,Australia,Western Australia,Katanning,-33.6894,117.5551,Felis catus,feral cat,01-January-2015,Narelle Dybing,
